latitude,longitude,elevation,temps,temperature,freqCardiaque
49.449325,1.083837,3.0,2023-11-29 07:24:30+00:00,21,116
49.44923,1.083828,2.0,2023-11-29 07:24:32+00:00,21,116
49.449182,1.083829,1.6,2023-11-29 07:24:33+00:00,21,116
49.448997,1.08383,0.6,2023-11-29 07:24:36+00:00,21,114
49.448912,1.083828,-0.6,2023-11-29 07:24:38+00:00,21,116
49.448865,1.083835,-1.8,2023-11-29 07:24:41+00:00,20,114
49.448857,1.083869,-2.2,2023-11-29 07:24:48+00:00,20,114
49.448809,1.083754,-2.0,2023-11-29 07:24:52+00:00,20,109
49.448672,1.083673,-1.8,2023-11-29 07:24:55+00:00,20,112
49.448573,1.08359,-2.4,2023-11-29 07:24:57+00:00,20,112
49.448522,1.083542,-3.0,2023-11-29 07:24:58+00:00,20,111
49.448393,1.083474,-3.6,2023-11-29 07:25:00+00:00,20,109
49.448309,1.08346,-4.0,2023-11-29 07:25:01+00:00,20,109
49.448146,1.083384,-5.4,2023-11-29 07:25:02+00:00,20,112
49.447972,1.08333,-5.8,2023-11-29 07:25:05+00:00,20,117
49.44777,1.083294,-6.8,2023-11-29 07:25:07+00:00,20,120
49.447568,1.083276,-8.2,2023-11-29 07:25:09+00:00,20,122
49.447476,1.08327,-9.2,2023-11-29 07:25:10+00:00,20,122
49.447392,1.08327,-11.0,2023-11-29 07:25:11+00:00,20,121
49.447315,1.083277,-12.8,2023-11-29 07:25:12+00:00,20,121
49.44725,1.083285,-14.2,2023-11-29 07:25:13+00:00,20,119
49.447199,1.083267,-15.4,2023-11-29 07:25:14+00:00,20,119
49.447153,1.083259,-16.4,2023-11-29 07:25:15+00:00,20,117
49.447096,1.083274,-17.8,2023-11-29 07:25:17+00:00,20,119
49.447082,1.08328,-18.2,2023-11-29 07:25:18+00:00,20,119
49.447059,1.083295,-19.0,2023-11-29 07:25:20+00:00,20,117
49.447131,1.083288,-19.6,2023-11-29 07:25:22+00:00,20,117
49.44722,1.083284,-19.8,2023-11-29 07:25:29+00:00,20,115
49.447215,1.083263,-19.8,2023-11-29 07:25:34+00:00,20,112
49.44721,1.083243,-19.8,2023-11-29 07:25:35+00:00,20,113
49.447205,1.083223,-19.8,2023-11-29 07:25:37+00:00,20,113
49.4472,1.083202,-19.8,2023-11-29 07:25:38+00:00,20,111
49.447156,1.083241,-19.8,2023-11-29 07:25:39+00:00,20,111
49.447069,1.083361,-19.8,2023-11-29 07:25:41+00:00,20,112
49.447099,1.083426,-19.8,2023-11-29 07:25:42+00:00,20,111
49.446931,1.083576,-20.2,2023-11-29 07:25:44+00:00,20,110
49.446729,1.08386,-20.4,2023-11-29 07:25:48+00:00,20,109
49.44669,1.084096,-20.4,2023-11-29 07:25:51+00:00,20,109
49.446745,1.084161,-20.2,2023-11-29 07:25:52+00:00,20,111
49.446698,1.084267,-20.4,2023-11-29 07:25:54+00:00,20,114
49.446646,1.084299,-20.4,2023-11-29 07:25:55+00:00,20,115
49.446706,1.084371,-21.2,2023-11-29 07:25:57+00:00,20,120
49.446625,1.084395,-21.4,2023-11-29 07:25:58+00:00,20,119
49.446464,1.084444,-22.0,2023-11-29 07:26:00+00:00,20,117
